labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
sweet;126;jul.64;10.645;431;2347;2708;243
blessings;127;jul.62;16.274;3957;--;--;4242
bright;128;jul.62;11.409;1344;2152;3001;649
cutest;129;jul.62;10.859;4009;--;--;--
entertaining;130;jul.62;10.859;3616;--;--;--
excited;131;jul.62;13.981;508;3790;--;3077
excitement;132;jul.62;16.523;2972;4058;--;--
joke;133;jul.62;13.981;821;--;--;1685
millionaire;134;jul.62;21.275;3035;--;--;--
prize;135;jul.62;12.103;2519;4742;2464;2874
succeeded;136;jul.62;11.409;--;2391;4525;--
successfully;137;jul.62;12.599;--;3281;4960;--
winners;138;jul.62;15.372;3381;--;3518;--
shines;139;jul.60;15.944;--;--;--;1435
awesome;140;jul.60;15.908;251;--;--;--
genius;141;jul.60;12.454;2306;3097;--;4716
achievement;142;jul.58;14.299;2737;3160;4591;--
cake;143;jul.58;11.082;696;--;--;2200
cheers;144;jul.58;14.721;2675;--;--;--
exciting;145;jul.58;13.415;1485;--;4431;--
goodness;146;jul.58;13.716;2274;--;--;4047
hug;147;jul.58;14.721;1392;--;--;2497
income;148;jul.58;16.047;2795;798;298;--
party;149;jul.58;14.581;165;367;384;446
puppy;150;jul.58;14.581;1517;--;--;--
smiling;151;jul.58;17.034;3530;--;--;1518
song;152;jul.58;13.415;147;2121;1898;248
succeeding;153;jul.58;13.415;--;--;4446;--
tasty;154;jul.58;11.265;3345;--;--;--
victories;155;jul.58;17.623;--;--;4210;--
achieved;156;jul.56;13.726;--;2001;4401;--
billion;157;jul.56;16.679;2689;3797;297;--
cakes;158;jul.56;14.591;4497;--;--;--
easier;159;jul.56;11.457;1716;3114;2585;2152
flowers;160;jul.56;14.309;2820;2250;637;1154
gifts;161;jul.56;19.395;1668;3942;3358;3754
gold;162;jul.56;11.095;605;1030;1343;607
merry;163;jul.56;11.457;510;--;--;1753
families;164;jul.54;12.811;3378;1153;923;--
handsome;165;jul.54;12.488;3289;4635;--;3695
lovers;166;jul.54;12.811;3593;--;--;1065
affection;167;jul.53;15.289;--;3564;--;2796
candy;168;jul.52;14.879;1126;--;--;1337
cute;169;jul.52;11.993;295;--;--;2354
diamond;170;jul.52;17.171;1992;--;2827;1372
earnings;171;jul.52;14.177;--;4361;582;--
interesting;172;jul.52;11.822;602;1165;2391;--
peacefully;173;jul.52;10.544;--;--;1718;--
praise;174;jul.52;14.741;3300;3301;--;1465
relaxing;175;jul.52;12.162;1904;--;--;--
roses;176;jul.52;12.493;3748;--;--;1643
saturdays;177;jul.52;17.290;--;--;2051;--
faithful;178;jul.51;13.248;--;3479;--;2637
heavens;179;jul.51;17.335;--;--;--;2321
cherish;180;jul.50;14.743;--;--;--;3823
