labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
oregon;2647;6.00;11.780;4520;--;4439;--
owns;2648;6.00;12.936;--;--;2063;--
participants;2649;6.00;10.302;--;3415;3847;--
pilot;2650;6.00;10.690;3948;4983;3377;--
principle;2651;6.00;14.846;--;818;3855;--
religion;2652;6.00;18.295;3865;773;3056;2360
result;2653;6.00;11.606;2961;360;888;--
service;2654;6.00;11.606;710;354;150;3671
sights;2655;6.00;14.983;--;--;--;3502
sites;2656;6.00;11.606;1782;2198;1885;--
sponsor;2657;6.00;14.142;--;--;4896;--
started;2658;6.00;10.690;560;1057;947;572
stereo;2659;6.00;12.936;--;--;--;3145
stores;2660;6.00;0.9689;2630;3589;999;--
successor;2661;6.00;14.428;--;--;4616;--
survive;2662;6.00;17.957;3209;4197;2973;977
surviving;2663;6.00;17.496;--;--;2199;--
today's;2664;6.00;0.9897;--;--;--;--
tuned;2665;6.00;0.9689;3629;--;--;--
virgin;2666;6.00;15.779;2189;--;--;3250
vista;2667;6.00;13.851;3577;--;--;--
walked;2668;6.00;0.9897;1825;1945;2684;716
2-car;2669;maj.98;14.213;--;--;--;--
action;2670;maj.98;14.213;1264;326;757;1566
afternoon;2671;maj.98;12.370;831;2376;1645;2138
anytime;2672;maj.98;12.534;3042;--;--;1718
attempting;2673;maj.98;0.9998;--;4560;--;--
audience;2674;maj.98;14.356;3911;2071;1332;--
august;2675;maj.98;14.356;4031;1081;543;--
author;2676;maj.98;13.923;3084;904;362;--
awww;2677;maj.98;17.784;1268;--;--;--
bbc;2678;maj.98;12.534;1381;--;--;--
began;2679;maj.98;0.9581;--;452;550;1531
biography;2680;maj.98;14.497;--;--;3013;--
broadcast;2681;maj.98;12.856;4704;--;2317;--
canada;2682;maj.98;15.318;1176;1758;1720;--
communities;2683;maj.98;13.169;--;1935;2600;--
contributor;2684;maj.98;13.476;--;--;1626;--
creatures;2685;maj.98;13.775;--;4230;--;3733
declaration;2686;maj.98;12.204;--;3111;--;--
dell;2687;maj.98;14.068;3776;--;--;--
dialogue;2688;maj.98;12.370;--;4045;4160;--
drum;2689;maj.98;13.775;--;--;--;1881
ebook;2690;maj.98;14.356;4192;--;--;--
egg;2691;maj.98;14.356;1688;4556;--;--
explained;2692;maj.98;13.169;--;1571;2818;--
fabric;2693;maj.98;10.971;4616;--;--;--
father-in-law;2694;maj.98;18.125;--;--;--;--
feature;2695;maj.98;11.692;2398;1985;2770;--
ferry;2696;maj.98;12.856;--;--;3530;--
fingertips;2697;maj.98;11.337;--;--;--;4648
flash;2698;maj.98;10.398;1770;--;--;1918
flights;2699;maj.98;18.897;4414;--;3352;--
folk;2700;maj.98;14.356;3899;3833;3793;4027
gathered;2701;maj.98;13.169;--;3032;4441;3924
grammys;2702;maj.98;14.497;4637;--;--;--
heh;2703;maj.98;12.696;2673;--;--;3553
hill;2704;maj.98;13.923;1547;1287;883;1114
http;2705;maj.98;12.534;--;4268;--;--
identity;2706;maj.98;11.156;3437;1569;3481;--
informal;2707;maj.98;14.497;--;4977;--;--
ireland;2708;maj.98;13.626;4067;2192;3074;--
java;2709;maj.98;15.583;4683;--;--;--
july;2710;maj.98;16.962;4224;890;248;3741
keys;2711;maj.98;12.036;2120;--;--;1577
lego;2712;maj.98;12.696;4949;--;--;--
lessons;2713;maj.98;13.775;2860;4002;3955;3364
looks;2714;maj.98;13.775;299;2053;1728;650
macbook;2715;maj.98;15.185;1922;--;--;--
mcdonalds;2716;maj.98;23.342;3831;--;--;--
meets;2717;maj.98;10.971;3882;--;3296;3125
messages;2718;maj.98;0.9366;2447;4203;3880;--
national;2719;maj.98;11.516;1113;257;135;--
netherlands;2720;maj.98;13.323;--;4950;4722;--
nintendo;2721;maj.98;17.319;3817;--;--;--
normal;2722;maj.98;10.784;1467;655;2435;3062
nyc;2723;maj.98;15.842;1249;--;922;--
organization;2724;maj.98;11.337;--;710;758;--
originally;2725;maj.98;11.337;--;2364;3164;--
ours;2726;maj.98;14.356;4724;--;--;2400
ourselves;2727;maj.98;13.323;3933;1736;3617;1580
pairs;2728;maj.98;11.692;--;4500;--;--
pic;2729;maj.98;11.692;629;--;--;--
planned;2730;maj.98;12.696;2713;2870;1022;2298
pop;2731;maj.98;12.370;1245;--;1386;712
prose;2732;maj.98;15.050;--;4610;--;--
recordings;2733;maj.98;12.370;--;--;3342;--
represented;2734;maj.98;11.692;--;1274;1922;--
robin;2735;maj.98;12.204;3542;--;2653;3929
schools;2736;maj.98;14.356;2593;742;680;--
singapore;2737;maj.98;17.899;4672;--;--;--
sounds;2738;maj.98;12.036;398;2664;2774;1005
specialized;2739;maj.98;13.323;--;4964;--;--
store;2740;maj.98;0.9792;654;2151;1145;1350
sweater;2741;maj.98;14.776;4275;--;--;--
tonight's;2742;maj.98;14.068;--;--;--;--
train;2743;maj.98;14.913;950;2033;1751;635
triple;2744;maj.98;11.337;4713;--;--;3307
wing;2745;maj.98;11.516;4892;3399;3603;3047
faire;2746;maj.98;15.068;--;--;--;3849
lasts;2747;maj.98;17.617;--;--;--;3181
nana;2748;maj.98;17.617;--;--;--;3914
precisely;2749;maj.98;12.827;--;2518;--;--
probable;2750;maj.98;13.306;--;3001;--;--
refer;2751;maj.98;11.085;--;2257;--;--
spoon;2752;maj.98;15.477;--;--;--;4277
similarly;2753;maj.98;10.816;--;2136;--;--
glimpse;2754;maj.98;11.701;--;--;--;4445
souls;2755;maj.98;17.130;--;3582;--;1144
above;2756;maj.96;0.9026;2102;256;941;493
academic;2757;maj.96;15.644;--;2112;2893;--
allowed;2758;maj.96;17.375;2340;974;1162;3618
assistance;2759;maj.96;14.280;--;1703;2656;--
authorized;2760;maj.96;15.513;--;4748;--;--
bacon;2761;maj.96;20.698;2006;--;--;--
bay;2762;maj.96;14.978;1686;2241;1272;2066
bf;2763;maj.96;16.283;2765;--;--;--
body;2764;maj.96;10.294;450;262;1207;323
collected;2765;maj.96;11.599;--;2187;4314;--
convinced;2766;maj.96;0.9681;4487;3015;3821;4516
destined;2767;maj.96;14.563;--;--;--;4548
discuss;2768;maj.96;12.282;3307;2321;2047;--
driven;2769;maj.96;12.771;--;2396;3904;3305
everyone's;2770;maj.96;12.610;--;--;--;--
everything;2771;maj.96;12.930;386;803;964;161
fav;2772;maj.96;19.479;1431;--;--;--
features;2773;maj.96;12.115;2887;1149;2733;--
flickr;2774;maj.96;11.945;3524;--;--;--
french;2775;maj.96;15.381;1348;460;826;3099
gig;2776;maj.96;13.991;2700;--;--;--
gracias;2777;maj.96;15.381;4196;--;--;--
gym;2778;maj.96;15.113;942;--;--;--
head;2779;maj.96;10.683;330;300;568;158
heels;2780;maj.96;11.241;3450;--;--;2624
hundreds;2781;maj.96;16.655;3777;3366;1783;--
including;2782;maj.96;0.9026;2028;506;282;--
islanders;2783;maj.96;12.930;--;--;4654;--
jeep;2784;maj.96;17.375;--;--;--;4418
job;2785;maj.96;17.257;339;912;522;922
largely;2786;maj.96;10.294;--;1476;2039;--
made;2787;maj.96;10.683;193;87;100;176
mambo;2788;maj.96;17.257;--;--;--;3711
match;2789;maj.96;0.9889;1665;3540;1673;2203
memoir;2790;maj.96;12.447;--;--;3737;--
mighty;2791;maj.96;13.087;2710;4242;--;1312
mmmmm;2792;maj.96;18.622;4608;--;--;--
net;2793;maj.96;10.294;1763;1700;477;2824
netflix;2794;maj.96;18.731;4070;--;--;--
players;2795;maj.96;16.157;2217;4284;743;3204
potentially;2796;maj.96;15.113;--;--;4783;--
presently;2797;maj.96;12.610;--;4327;--;--
proof;2798;maj.96;10.683;2962;1973;4903;2069
reaches;2799;maj.96;13.696;--;4344;--;--
reflecting;2800;maj.96;12.282;--;--;4661;--
related;2801;maj.96;12.610;2468;670;1084;--
releases;2802;maj.96;14.702;4140;--;--;--
reveal;2803;maj.96;13.547;--;3515;--;3015
reveals;2804;maj.96;14.702;--;4204;--;--
rocks;2805;maj.96;14.841;1730;2637;--;1259
roommate;2806;maj.96;15.513;4976;--;--;--
season;2807;maj.96;11.421;544;2102;360;1975
selection;2808;maj.96;12.930;4627;1764;3054;--
ship;2809;maj.96;12.282;1807;1436;3096;1489
ships;2810;maj.96;10.093;--;2004;4621;3453
similar;2811;maj.96;10.872;2920;440;1077;--
space;2812;maj.96;10.093;571;614;724;740
stadium;2813;maj.96;15.774;4613;--;2187;--
starts;2814;maj.96;11.945;1061;4745;2341;959
taught;2815;maj.96;14.563;3674;1831;2286;1281
world's;2816;maj.96;13.395;--;4005;--;--
writer;2817;maj.96;15.381;1859;1721;232;--
yep;2818;maj.96;16.655;1351;--;--;4462
justify;2819;maj.96;13.379;--;4334;--;3844
pupil;2820;maj.96;13.838;--;4447;--;--
spreading;2821;maj.96;13.064;--;--;--;3956
wales;2822;maj.96;14.994;--;4131;--;--
whoo;2823;maj.96;16.951;--;--;--;2463
deeds;2824;maj.96;13.202;--;4991;--;4797
exhibit;2825;maj.96;12.541;--;3770;--;--
fiddle;2826;maj.96;17.254;--;--;--;4801
exceed;2827;maj.96;15.174;--;4839;--;--
3d;2828;maj.94;16.088;--;--;--;--
alternative;2829;maj.94;13.911;3603;1714;2322;--
approach;2830;maj.94;11.678;4478;622;1451;4601
awe;2831;maj.94;20.938;4655;--;--;--
ballet;2832;maj.94;15.832;--;--;1725;--
begins;2833;maj.94;11.502;2330;2091;1831;1513
building;2834;maj.94;11.141;650;640;433;1793
business;2835;maj.94;14.626;416;339;97;1134
carpet;2836;maj.94;11.502;2891;--;--;3921
chick;2837;maj.94;16.464;1593;--;--;1444
choose;2838;maj.94;11.851;1522;1900;2418;868
consent;2839;maj.94;12.191;--;2862;--;--
continental;2840;maj.94;11.141;--;4689;4181;--
correspondence;2841;maj.94;13.157;--;3136;--;--
custom;2842;maj.94;0.9127;1696;2808;--;--
decided;2843;maj.94;13.911;1089;1162;1100;2565
diary;2844;maj.94;11.502;--;4940;2518;--
echo;2845;maj.94;12.357;--;--;--;2374
elevation;2846;maj.94;15.174;--;4795;--;--
european;2847;maj.94;11.678;4005;841;868;--
exports;2848;maj.94;12.191;--;3718;3882;--
finds;2849;maj.94;12.521;2627;2426;3254;2958
forum;2850;maj.94;12.521;2496;--;3099;--
framework;2851;maj.94;10.577;--;2509;--;--
frank;2852;maj.94;13.001;3134;2511;655;3972
gather;2853;maj.94;10.768;--;--;--;2098
germany;2854;maj.94;15.703;3361;1076;1098;--
image;2855;maj.94;16.587;2108;995;1723;2366
impression;2856;maj.94;10.768;--;2360;4505;--
include;2857;maj.94;12.022;3228;750;443;--
inherent;2858;maj.94;13.763;--;4249;--;--
intention;2859;maj.94;12.843;--;2546;--;--
investor;2860;maj.94;13.001;--;--;3470;--
jet;2861;maj.94;16.340;2928;--;4193;2776
joyce;2862;maj.94;15.174;--;--;2650;--
kings;2863;maj.94;15.308;2960;2949;3735;1820
knew;2864;maj.94;13.001;745;512;844;289
larger;2865;maj.94;15.308;--;897;1740;--
letter;2866;maj.94;10.956;1198;519;984;1194
listen;2867;maj.94;14.344;539;2833;3893;361
looking;2868;maj.94;0.9775;215;777;772;294
mba;2869;maj.94;18.340;--;--;2498;--
member;2870;maj.94;11.141;2164;797;269;--
men;2871;maj.94;13.911;608;131;496;521
movement;2872;maj.94;0.9348;3350;555;1428;3889
nation's;2873;maj.94;15.440;--;--;--;--
obama;2874;maj.94;21.610;488;--;--;--
ok;2875;maj.94;17.310;221;--;--;750
oooh;2876;maj.94;17.192;2857;--;--;906
option;2877;maj.94;13.911;1473;3429;2526;--
phoenix;2878;maj.94;16.088;3284;--;3158;--
player;2879;maj.94;16.214;1505;4963;1062;2041
portfolio;2880;maj.94;14.344;--;--;4653;--
preparations;2881;maj.94;14.057;--;4525;--;--
presidential;2882;maj.94;15.174;--;4939;1261;--
prom;2883;maj.94;13.763;4876;--;--;--
proper;2884;maj.94;13.911;2979;932;3883;3696
pulse;2885;maj.94;13.311;--;4070;3699;4579
reality;2886;maj.94;16.464;1619;1095;2223;1072
regularly;2887;maj.94;0.8668;--;3811;4075;--
reservations;2888;maj.94;14.626;--;--;3186;--
salmon;2889;maj.94;17.072;--;--;4856;--
scene;2890;maj.94;13.311;1609;1364;1315;934
societies;2891;maj.94;13.614;--;2283;--;--
submitted;2892;maj.94;13.001;--;3822;--;--
substantial;2893;maj.94;10.956;--;2418;3214;--
swift;2894;maj.94;12.683;1100;--;--;3828
technique;2895;maj.94;0.9982;--;1830;4721;--
thnx;2896;maj.94;16.088;--;--;--;--
thx;2897;maj.94;15.174;1320;--;--;--
tide;2898;maj.94;12.357;--;4789;--;1787
trends;2899;maj.94;12.843;4336;3807;3607;--
visual;2900;maj.94;16.832;--;2301;4379;--
wallet;2901;maj.94;10.577;4862;--;--;--
wear;2902;maj.94;13.911;846;3010;2717;773
formation;2903;maj.94;12.521;--;1205;--;--
cloth;2904;maj.94;11.256;--;3005;--;--
delicate;2905;maj.94;15.331;--;4111;--;--
echoes;2906;maj.94;13.135;--;--;--;3083
geography;2907;maj.94;14.202;--;4920;--;--
processing;2908;maj.94;14.055;--;2362;--;--
swinging;2909;maj.94;14.055;--;--;--;3244
1970's;2910;maj.92;16.517;--;--;--;--
aides;2911;maj.92;13.827;--;--;2670;--
bank;2912;maj.92;16.268;1186;814;379;1818
banks;2913;maj.92;12.428;3085;1752;1138;3155
beer;2914;maj.92;23.891;839;4924;3960;1413
boobs;2915;maj.92;21.366;4617;--;--;--
capital;2916;maj.92;12.428;3384;641;799;--
chapters;2917;maj.92;11.753;--;2574;--;--
chicks;2918;maj.92;18.499;3044;--;--;1845
chiefs;2919;maj.92;13.974;--;4752;--;--
christianity;2920;maj.92;22.663;--;2554;--;--
citizen;2921;maj.92;13.827;--;3541;4066;--
collections;2922;maj.92;16.517;--;4784;4538;--
conclude;2923;maj.92;13.827;--;3823;--;--
constant;2924;maj.92;11.400;--;997;4670;3194
covered;2925;maj.92;10.069;2337;1260;2314;1926
devices;2926;maj.92;11.753;--;2918;3720;--
diagram;2927;maj.92;12.095;--;3490;--;--
directors;2928;maj.92;13.827;--;3855;1203;--
doubtless;2929;maj.92;15.365;--;4612;--;--
equity;2930;maj.92;16.762;--;4205;2388;--
fields;2931;maj.92;12.428;--;1448;2880;1757
florence;2932;maj.92;18.609;--;--;2652;--
forecast;2933;maj.92;11.220;3651;--;--;--
get;2934;maj.92;10.850;35;213;134;35
group;2935;maj.92;12.095;757;234;179;3079
guy;2936;maj.92;13.377;347;4495;1640;666
hah;2937;maj.92;16.640;2566;--;--;2640
harvard;2938;maj.92;17.825;--;3438;1133;--
historic;2939;maj.92;15.758;--;4584;2428;--
i;2940;maj.92;13.377;2;18;35;2
laboratory;2941;maj.92;17.124;--;2390;3349;--
linux;2942;maj.92;15.628;3870;--;--;--
opens;2943;maj.92;12.752;2997;--;2872;4058
orlando;2944;maj.92;14.119;3093;--;4425;--
pants;2945;maj.92;11.400;1420;--;--;1650
patterns;2946;maj.92;10.660;--;1555;4319;--
private;2947;maj.92;13.529;1953;584;391;2331
publishing;2948;maj.92;11.753;--;3250;2434;--
raining;2949;maj.92;21.650;2007;--;--;2333
residential;2950;maj.92;14.405;--;--;3299;--
retirement;2951;maj.92;21.174;--;4785;1376;--
runnin;2952;maj.92;14.546;--;--;--;1486
salon;2953;maj.92;13.679;--;--;--;--
sends;2954;maj.92;0.9223;4855;--;--;4315
shorts;2955;maj.92;12.591;3599;--;--;--
shown;2956;maj.92;10.660;--;454;1152;2681
skinny;2957;maj.92;15.232;3032;--;--;3840
solid;2958;maj.92;11.220;2651;1803;3511;2659
stoked;2959;maj.92;17.004;3907;--;--;--
substantially;2960;maj.92;13.068;--;4969;--;--
teen;2961;maj.92;19.361;2220;--;--;--
theatrical;2962;maj.92;12.752;--;--;4979;--
toyota;2963;maj.92;14.824;4359;--;--;--
translated;2964;maj.92;10.850;--;2937;4565;--
tribe;2965;maj.92;13.679;--;4175;--;--
umbrella;2966;maj.92;12.911;4219;--;--;--
vienna;2967;maj.92;17.710;--;--;4760;--
views;2968;maj.92;10.069;3476;1354;2061;--
viva;2969;maj.92;17.124;--;--;--;4109
washed;2970;maj.92;15.497;4729;--;--;2279
wholly;2971;maj.92;11.400;--;2827;--;--
alternatives;2972;maj.92;14.696;--;4929;--;--
applies;2973;maj.92;13.360;--;3899;--;--
generated;2974;maj.92;12.884;--;3165;--;--
merchant;2975;maj.92;11.518;--;3973;--;--
missionary;2976;maj.92;19.022;--;4472;--;--
vine;2977;maj.92;12.721;--;--;--;4066
vive;2978;maj.91;13.416;--;--;--;4815
add;2979;maj.90;0.9742;758;1276;1595;2394
addition;2980;maj.90;12.976;--;694;682;--
alike;2981;maj.90;15.152;--;3630;--;--
attributed;2982;maj.90;14.321;--;3578;3315;--
blu-ray;2983;maj.90;13.887;--;--;--;--
both;2984;maj.90;10.351;476;117;154;550
brought;2985;maj.90;13.286;1438;426;909;903
buyers;2986;maj.90;11.650;--;--;3418;--
chillin;2987;maj.90;16.933;1350;--;--;3624
co-op;2988;maj.90;13.439;--;--;--;--
conception;2989;maj.90;13.286;--;2344;--;--
conclusions;2990;maj.90;12.164;--;2812;--;--
considered;2991;maj.90;10.738;3689;485;1249;--
daughter-in-law;2992;maj.90;15.551;--;--;--;--
diaries;2993;maj.90;13.887;3701;--;--;--
dividend;2994;maj.90;18.979;--;--;2699;--
doe;2995;maj.90;16.444;4058;--;--;2048
establish;2996;maj.90;15.152;--;1798;3150;--
exist;2997;maj.90;16.812;3408;1355;4295;2336
existence;2998;maj.90;12.495;--;843;4984;2990
expect;2999;maj.90;0.9742;1611;1695;1339;1691
fact;3000;maj.90;13.286;997;208;737;939
featured;3001;maj.90;10.738;2778;--;4549;--
feel;3002;maj.90;11.294;140;607;610;71
gin;3003;maj.90;18.098;--;--;--;2876
grew;3004;maj.90;13.286;4178;2000;1969;1676
hand;3005;maj.90;10.738;475;209;912;201
hosting;3006;maj.90;13.887;2486;--;--;--
legacy;3007;maj.90;16.067;--;--;2814;--
letters;3008;maj.90;14.178;3459;884;1117;2136
lip;3009;maj.90;10.738;3842;--;--;2513
lolz;3010;maj.90;15.551;2918;--;--;--
magazine;3011;maj.90;16.690;1743;2882;675;2953
majority;3012;maj.90;11.112;4945;1171;1327;--
mall;3013;maj.90;14.033;1509;--;4746;3066
man;3014;maj.90;14.033;72;108;285;78
modest;3015;maj.90;14.178;--;4962;3362;--
naked;3016;maj.90;22.879;1317;4908;--;1343
neighbors;3017;maj.90;15.940;3194;--;2764;3586
nokia;3018;maj.90;13.740;3626;--;--;--
notebook;3019;maj.90;13.887;4787;--;798;--
now;3020;maj.90;13.740;39;92;91;34
pass;3021;maj.90;14.321;968;1025;1509;557
peak;3022;maj.90;15.940;--;3239;4983;4314
permit;3023;maj.90;0.9742;--;2649;3678;--
personally;3024;maj.90;10.738;3457;4157;4544;--
planes;3025;maj.90;16.812;--;--;3386;4767
ratings;3026;maj.90;12.657;--;--;3187;--
recording;3027;maj.90;11.473;2854;3905;3510;--
replies;3028;maj.90;0.9530;4330;--;--;--
results;3029;maj.90;13.740;1768;419;381;--
retail;3030;maj.90;10.351;3375;--;2059;--
scenes;3031;maj.90;12.164;3926;3506;3543;4083
scores;3032;maj.90;11.294;4814;3518;3265;--
seattle;3033;maj.90;12.657;2250;--;1932;--
settlement;3034;maj.90;15.017;--;1979;1287;--
speak;3035;maj.90;12.164;1188;905;1856;604
stanford;3036;maj.90;17.642;--;--;3081;--
strategic;3037;maj.90;14.743;--;3344;3356;--
symbols;3038;maj.90;11.112;--;3639;--;--
talked;3039;maj.90;12.657;2114;3067;3105;2249
thousand;3040;maj.90;0.8631;3932;949;4842;739
twenty;3041;maj.90;10.546;--;620;--;1579
winter;3042;maj.90;21.783;785;1508;1459;1062
yeah;3043;maj.90;11.473;192;--;--;64
angle;3044;maj.90;13.578;--;2118;--;--
bun;3045;maj.90;13.881;--;--;--;3399
displayed;3046;maj.90;11.039;--;3897;--;--
dolly;3047;maj.90;13.423;--;--;--;3803
illustrate;3048;maj.90;14.895;--;3979;--;--
pockets;3049;maj.90;14.178;--;--;--;2377
puppet;3050;maj.90;17.588;--;--;--;4261
sensory;3051;maj.90;13.423;--;4954;--;--
grande;3052;maj.90;14.621;--;--;--;3571
mixture;3053;maj.90;12.071;--;2744;--;--
myth;3054;maj.90;14.178;--;4209;--;--
admiral;3055;maj.89;14.024;--;4925;--;--
intensity;3056;maj.89;13.061;--;2560;--;--
access;3057;maj.88;12.558;2090;1311;1545;--
adobe;3058;maj.88;12.395;3826;--;--;--
airport;3059;maj.88;18.477;1133;--;1798;--
allied;3060;maj.88;11.542;--;4154;4862;--
applications;3061;maj.88;10.622;4676;2047;4376;--
architects;3062;maj.88;13.797;--;--;4640;--
audio;3063;maj.88;18.805;2384;--;--;--
austria;3064;maj.88;12.879;--;4236;--;--
celeb;3065;maj.88;14.658;4044;--;--;--
chosen;3066;maj.88;11.183;--;1765;2725;2286
city's;3067;maj.88;12.720;--;--;--;--
coordinator;3068;maj.88;10.622;--;--;2661;--
cyber;3069;maj.88;14.797;4614;--;--;--
deserves;3070;maj.88;18.913;3609;--;4135;--
distinguish;3071;maj.88;14.090;--;3363;--;--
drivin;3072;maj.88;14.234;--;--;--;4522
entire;3073;maj.88;11.183;1371;961;829;4638
evidently;3074;maj.88;13.498;--;3221;--;--
expanded;3075;maj.88;11.542;--;4134;2398;--
feedback;3076;maj.88;0.9613;3503;4754;--;--
field;3077;maj.88;11.891;1092;432;661;1960
flew;3078;maj.88;15.990;--;--;--;2774
founder;3079;maj.88;11.183;--;--;1617;--
hip;3080;maj.88;13.797;2287;--;--;1211
includes;3081;maj.88;15.205;4205;1688;789;--
keeps;3082;maj.88;13.192;1239;4805;3168;602
leaders;3083;maj.88;13.192;2876;1242;704;4323
lmaooo;3084;maj.88;20.368;3236;--;--;--
mary;3085;maj.88;14.090;2271;1333;617;1117
mood;3086;maj.88;16.368;1156;3844;4071;1664
mrs;3087;maj.88;14.090;3379;687;274;3680
october;3088;maj.88;14.234;3547;1091;515;--
organism;3089;maj.88;12.061;--;4536;--;--
outlook;3090;maj.88;11.891;4960;--;4476;--
philharmonic;3091;maj.88;15.732;--;--;4122;--
physical;3092;maj.88;12.229;3607;596;2429;3221
poland;3093;maj.88;13.346;--;4215;3738;--
primary;3094;maj.88;11.183;--;916;1685;--
printed;3095;maj.88;0.9613;--;1942;4649;--
privacy;3096;maj.88;21.537;2732;--;4516;--
pro;3097;maj.88;13.192;987;3087;273;3562
producer;3098;maj.88;13.649;--;--;1450;--
railroad;3099;maj.88;13.649;--;3011;4000;3594
researchers;3100;maj.88;13.944;--;4382;2761;--
scout;3101;maj.88;10.999;4721;--;--;--
sequence;3102;maj.88;13.192;--;2077;--;--
sovereign;3103;maj.88;13.801;--;3817;--;--
speaking;3104;maj.88;11.183;1908;1371;2067;2263
sustained;3105;maj.88;14.090;--;3784;--;--
town;3106;maj.88;15.338;793;580;730;335
twilight;3107;maj.88;19.128;794;--;--;2707
victoria;3108;maj.88;12.395;4383;--;4040;--
weather;3109;maj.88;15.205;513;2270;2070;1367
whole;3110;maj.88;13.346;438;230;953;341
yeh;3111;maj.88;15.602;4495;--;--;1992
pun;3112;maj.88;17.159;--;--;--;4110
demonstration;3113;maj.88;12.185;--;4670;--;--
misty;3114;maj.88;18.779;--;--;--;4848
sovereignty;3115;maj.88;17.516;--;4756;--;--
scripture;3116;maj.88;17.336;--;4510;--;--
sleigh;3117;maj.88;18.175;--;--;--;3621
flex;3118;maj.87;11.575;--;--;--;3240
2morrow;3119;maj.86;13.095;--;--;--;--
adopted;3120;maj.86;16.538;--;1537;2835;--
aim;3121;maj.86;11.068;2573;2547;--;2318
amounts;3122;maj.86;12.124;--;2585;3601;--
applied;3123;maj.86;12.938;--;835;2921;--
arrangement;3124;maj.86;11.250;--;2355;4619;--
articles;3125;maj.86;11.782;2764;1676;1800;--
balls;3126;maj.86;12.124;2141;--;--;1937
barbie;3127;maj.86;16.037;4356;--;--;--
bear;3128;maj.86;18.518;1888;1443;2354;1330
boogie;3129;maj.86;19.379;--;--;--;1687
bridge;3130;maj.86;13.999;2819;2069;1128;759
brooks;3131;maj.86;13.704;--;--;3587;--
brother-in-law;3132;maj.86;15.254;--;--;--;--
chrome;3133;maj.86;14.287;4060;--;--;2132
club;3134;maj.86;16.414;599;2273;452;721
columbus;3135;maj.86;13.250;--;--;2786;--
connect;3136;maj.86;14.848;2724;--;--;3798
constitutional;3137;maj.86;16.037;--;2520;2795;--
contemporary;3138;maj.86;10.882;--;1794;2017;--
country's;3139;maj.86;13.704;--;--;--;--
credit;3140;maj.86;16.661;1220;1483;495;2846
credits;3141;maj.86;13.403;--;--;2093;--
curve;3142;maj.86;14.848;--;2156;--;--
diverse;3143;maj.86;15.388;--;4421;--;--
dj;3144;maj.86;14.984;1217;--;--;1020
effort;3145;maj.86;16.289;2682;1077;841;--
engineering;3146;maj.86;14.848;--;2240;2422;--
equipment;3147;maj.86;0.9691;--;1452;1463;--
figures;3148;maj.86;11.782;--;1158;879;3748
freeway;3149;maj.86;15.388;--;--;--;3851
front-page;3150;maj.86;10.882;--;--;--;--
frontier;3151;maj.86;12.779;--;3695;--;--
hotter;3152;maj.86;15.388;--;--;--;3170
household;3153;maj.86;16.538;--;2423;--;--
integration;3154;maj.86;17.498;--;2826;--;--
introduce;3155;maj.86;0.9691;--;3904;4486;4753
japan's;3156;maj.86;11.608;--;--;--;--
jennifer;3157;maj.86;13.999;3936;--;1532;--
keep;3158;maj.86;10.692;246;523;485;111
layout;3159;maj.86;0.9037;--;--;--;--
lens;3160;maj.86;14.984;--;4773;--;--
leo;3161;maj.86;14.848;4601;--;3611;--
located;3162;maj.86;13.554;--;1993;--;--
metro;3163;maj.86;15.254;3472;--;1090;--
newman;3164;maj.86;12.124;--;--;3945;--
nut;3165;maj.86;14.984;4695;--;--;2932
nuts;3166;maj.86;16.289;2417;--;--;2182
observations;3167;maj.86;10.692;--;1958;--;--
obtain;3168;maj.86;13.403;--;1418;4081;--
pc;3169;maj.86;14.287;1206;--;--;--
position;3170;maj.86;11.250;2836;348;784;2113
potter;3171;maj.86;17.958;3584;--;--;--
president;3172;maj.86;21.094;1180;578;63;2729
productions;3173;maj.86;12.291;--;--;3620;--
property;3174;maj.86;15.651;3462;582;1157;--
pumping;3175;maj.86;13.704;--;--;--;4551
revelation;3176;maj.86;14.848;--;4003;--;4813
road;3177;maj.86;10.882;764;776;486;407
SAND;3178;maj.86;15.780;4444;2538;4811;989
seat;3179;maj.86;10.500;1327;2244;2318;1420
services;3180;maj.86;15.780;1634;601;182;--
sound;3181;maj.86;12.779;644;825;994;371
survival;3182;maj.86;15.909;--;3121;4932;3819
teens;3183;maj.86;15.520;4230;--;--;--
thursday;3184;maj.86;11.068;1105;--;226;4755
trained;3185;maj.86;14.984;--;3008;3884;--
variations;3186;maj.86;11.954;--;2890;--;--
viewers;3187;maj.86;12.779;--;--;3290;--
wrapped;3188;maj.86;13.095;4085;--;--;1809
attitudes;3189;maj.86;13.070;--;2349;--;--
autonomy;3190;maj.86;15.943;--;4790;--;--
concentrated;3191;maj.86;12.910;--;3593;--;--
deeper;3192;maj.86;13.385;--;3713;--;1266
fifteen;3193;maj.86;10.206;--;2408;--;3422
fourteen;3194;maj.86;13.385;--;4302;--;--
gum;3195;maj.86;13.844;--;--;--;4664
liquid;3196;maj.86;11.726;--;2203;--;4094
organizational;3197;maj.86;12.583;--;3501;--;--
output;3198;maj.86;13.844;--;1351;--;--
phenomena;3199;maj.86;16.073;--;2602;--;--
seal;3200;maj.86;15.138;--;4642;--;3807
